Title,Year
Outlast 2,2017
Phantom Trigger,2017
Super Luckys Tale,2017
428: Shibuya Scramble,2018
Assassins Creed Odyssey,2018
Lamplight City,2018
We Happy Few,2018
Detroit: Become Human,2019
Star Wars Jedi: Fallen Order,2019
Steins;Gate: Linear Bounded Phenogram,2019
Hood: Outlaws & Legends,2021
Pragmata,2022
